"","hubs"
"antiquewhite4","pdam_00021203"
"bisque4","pdam_00010352"
"black","pdam_00008952"
"blue","pdam_00006243"
"blue2","pdam_00001152"
"brown","pdam_00015281"
"brown2","pdam_00009865"
"brown4","pdam_00012361"
"coral","pdam_00001988"
"coral1","pdam_00011799"
"coral2","pdam_00023694"
"cyan","pdam_00004092"
"darkgreen","pdam_00019702"
"darkgrey","pdam_00003575"
"darkmagenta","pdam_00015892"
"darkolivegreen","pdam_00001250"
"darkolivegreen4","pdam_00017023"
"darkorange","pdam_00004141"
"darkorange2","pdam_00005527"
"darkred","pdam_00020212"
"darkseagreen3","pdam_00019344"
"darkseagreen4","pdam_00010592"
"darkslateblue","pdam_00012819"
"darkturquoise","pdam_00011375"
"darkviolet","pdam_00010339"
"firebrick4","pdam_00025131"
"floralwhite","pdam_00006145"
"green","pdam_00024580"
"greenyellow","pdam_00004900"
"grey60","pdam_00014622"
"honeydew","pdam_00006927"
"honeydew1","pdam_00002315"
"indianred4","pdam_00020392"
"ivory","pdam_00007282"
"lavenderblush2","pdam_00013937"
"lavenderblush3","pdam_00004155"
"lightcoral","pdam_00005970"
"lightcyan","pdam_00020242"
"lightcyan1","pdam_00015526"
"lightgreen","pdam_00013626"
"lightpink3","pdam_00003570"
"lightpink4","pdam_00010712"
"lightsteelblue","pdam_00024131"
"lightsteelblue1","pdam_00006528"
"lightyellow","pdam_00014793"
"magenta","pdam_00016729"
"magenta4","pdam_00021341"
"maroon","pdam_00012725"
"mediumorchid","pdam_00010941"
"mediumpurple2","pdam_00017683"
"mediumpurple3","pdam_00012310"
"midnightblue","pdam_00006298"
"navajowhite1","pdam_00014637"
"navajowhite2","pdam_00000777"
"orange","pdam_00001047"
"orangered3","pdam_00018687"
"orangered4","pdam_00002625"
"paleturquoise","pdam_00001302"
"palevioletred2","pdam_00015278"
"palevioletred3","pdam_00018203"
"pink","pdam_00022074"
"plum","pdam_00012870"
"plum1","pdam_00014796"
"plum2","pdam_00009785"
"plum3","pdam_00006120"
"purple","pdam_00012595"
"red","pdam_00007013"
"royalblue","pdam_00001335"
"saddlebrown","pdam_00022717"
"salmon","pdam_00013730"
"salmon2","pdam_00006552"
"salmon4","pdam_00012086"
"sienna3","pdam_00004010"
"skyblue","pdam_00021238"
"skyblue1","pdam_00016985"
"skyblue2","pdam_00018881"
"skyblue3","pdam_00008143"
"steelblue","pdam_00006826"
"tan","pdam_00022099"
"thistle","pdam_00025437"
"thistle1","pdam_00019302"
"thistle2","pdam_00003371"
"thistle3","pdam_00008155"
"turquoise","pdam_00009922"
"violet","pdam_00025776"
"white","pdam_00019886"
"yellow","pdam_00021830"
"yellow4","pdam_00022202"
"yellowgreen","pdam_00022335"
